"Tract ID","STATE2KX","CNTY2KX","TRACT2KX","e(0)","se(e(0))","Abridged life table flag"
36005000200,36,005,000200,84.1,3.2118,3
36005000400,36,005,000400,79.9,1.2545,2
36005001600,36,005,001600,80.9,1.8034,3
36005002000,36,005,002000,80.3,2.5833,1
36005002300,36,005,002300,75,1.3207,3
36005002500,36,005,002500,72.9,1.3746,3
36005002701,36,005,002701,71.6,1.74,3
36005002702,36,005,002702,75.6,1.5453,2
36005002800,36,005,002800,78,1.3217,1
36005003100,36,005,003100,77.1,2.1819,2
36005003300,36,005,003300,77.5,2.9852,3
36005003500,36,005,003500,78.8,3.5915,3
36005003800,36,005,003800,74.1,3.5019,3
36005003900,36,005,003900,76.8,1.3407,2
36005004001,36,005,004001,85.3,3.5987,3
36005004100,36,005,004100,73.5,1.3528,3
36005004200,36,005,004200,75.4,1.3697,3
36005004300,36,005,004300,79,2.6594,3
36005004400,36,005,004400,73.9,1.4264,3
36005004600,36,005,004600,73.6,3.0846,3
36005004800,36,005,004800,80,2.2584,3
36005005001,36,005,005001,78.5,2.223,1
36005005002,36,005,005002,75.6,1.8264,2
36005005100,36,005,005100,74.4,1.3771,3
36005005200,36,005,005200,79.5,3.4118,3
36005005300,36,005,005300,72.2,1.9131,1
36005005400,36,005,005400,80,2.5018,3
36005005600,36,005,005600,75.6,0.9381,2
36005005902,36,005,005902,76.4,1.535,3
36005006000,36,005,006000,77.4,2.7494,2
36005006100,36,005,006100,84.1,2.2287,3
36005006200,36,005,006200,78.1,2.7842,1
36005006300,36,005,006300,76.8,1.2675,2
36005006400,36,005,006400,81.9,3.982,3
36005006500,36,005,006500,76.1,1.9936,3
36005006700,36,005,006700,78,2.5589,3
36005006800,36,005,006800,75.6,1.2627,2
36005006900,36,005,006900,76.8,1.2393,2
36005007000,36,005,007000,80.6,3.715,3
36005007100,36,005,007100,77,2.6384,3
36005007200,36,005,007200,84.3,3.1541,1
36005007300,36,005,007300,75.6,1.3431,2
36005007400,36,005,007400,78.6,2.5331,3
36005007500,36,005,007500,74.5,1.1711,3
36005007600,36,005,007600,81.3,2.4677,3
36005007700,36,005,007700,73.7,3.5823,3
36005007800,36,005,007800,75.6,1.4127,2
36005007900,36,005,007900,82.1,3.5458,3
36005008300,36,005,008300,77.8,2.0655,3
36005008400,36,005,008400,83.6,2.8616,3
36005008500,36,005,008500,77.7,2.5661,3
36005008600,36,005,008600,75.6,1.1033,2
36005008700,36,005,008700,79.3,2.305,1
36005008900,36,005,008900,79.8,2.3603,3
36005009000,36,005,009000,76.8,1.3241,2
36005009200,36,005,009200,80.2,2.0698,3
36005009300,36,005,009300,75.7,1.5442,3
36005009600,36,005,009600,75,1.5497,3
36005009800,36,005,009800,79,1.3371,2
36005011502,36,005,011502,75.6,1.3105,2
36005011700,36,005,011700,73.4,3.8235,3
36005011800,36,005,011800,79.8,1.5398,3
36005011900,36,005,011900,79.8,2.5284,3
36005012101,36,005,012101,76.5,2.1716,3
36005012102,36,005,012102,75.6,2.0389,2
36005012300,36,005,012300,77.2,1.6902,3
36005012500,36,005,012500,76.8,1.6616,2
36005012701,36,005,012701,76.3,2.451,3
36005012901,36,005,012901,78.1,3.3008,3
36005013000,36,005,013000,79.7,1.7373,2
36005013100,36,005,013100,73.8,1.6897,3
36005013200,36,005,013200,83.5,3.1252,3
36005013300,36,005,013300,79.9,2.6301,1
36005013500,36,005,013500,75.6,1.7243,2
36005013800,36,005,013800,81.9,2.5948,3
36005014100,36,005,014100,76.8,1.626,2
36005014300,36,005,014300,75.6,2.2785,2
36005014400,36,005,014400,75.6,1.5119,3
36005014500,36,005,014500,69.5,1.3651,3
36005014701,36,005,014701,75.1,3.4828,3
36005014702,36,005,014702,76.4,3.4103,1
36005014900,36,005,014900,72.9,1.5589,3
36005015100,36,005,015100,75.6,1.3864,2
36005015200,36,005,015200,82.2,1.9194,3
36005015300,36,005,015300,77.9,2.7172,3
36005015500,36,005,015500,75.6,1.3079,2
36005015700,36,005,015700,75.6,2.1922,2
36005015800,36,005,015800,70.7,1.6815,3
36005015900,36,005,015900,75.4,1.8188,3
36005016000,36,005,016000,81.8,1.6892,3
36005016100,36,005,016100,76.3,1.8311,3
36005016200,36,005,016200,81.4,0.9132,2
36005016400,36,005,016400,80.6,1.3363,2
36005016600,36,005,016600,80.5,2.3945,3
36005016900,36,005,016900,75.2,3.0008,3
36005017300,36,005,017300,78.1,3.0358,3
36005017500,36,005,017500,73,2.3994,3
36005017701,36,005,017701,70.3,1.7484,3
36005017702,36,005,017702,80.9,3.6085,3
36005017902,36,005,017902,77.8,3.3833,3
36005018101,36,005,018101,75.6,2.1533,2
36005018102,36,005,018102,76.8,1.0779,2
36005018301,36,005,018301,83.9,2.5886,3
36005018400,36,005,018400,80.8,1.8068,3
36005018500,36,005,018500,75.8,1.6799,1
36005018900,36,005,018900,75.7,1.7545,1
36005019300,36,005,019300,74.4,1.6794,3
36005019400,36,005,019400,78.8,1.349,2
36005019500,36,005,019500,76.8,1.2891,2
36005019700,36,005,019700,79.7,3.4059,1
36005019900,36,005,019900,75.6,1.8736,2
36005020000,36,005,020000,79.6,2.1205,3
36005020100,36,005,020100,75.6,1.3814,2
36005020200,36,005,020200,80.8,3.1063,3
36005020400,36,005,020400,79.8,2.7805,3
36005020501,36,005,020501,75.6,1.3094,2
36005020502,36,005,020502,79.8,3.1769,3
36005020601,36,005,020601,78.5,1.5202,2
36005020900,36,005,020900,74.6,1.8627,3
36005021001,36,005,021001,76.9,0.8641,3
36005021002,36,005,021002,79.9,1.4679,2
36005021100,36,005,021100,75.6,1.5323,2
36005021200,36,005,021200,79.7,2.0888,3
36005021301,36,005,021301,75.6,3.0542,2
36005021302,36,005,021302,74.7,1.3223,3
36005021502,36,005,021502,75.7,2.1104,3
36005021601,36,005,021601,82.8,3.5027,3
36005021602,36,005,021602,85,3.6693,3
36005021700,36,005,021700,75.6,1.4133,2
36005021800,36,005,021800,77.4,1.5374,3
36005021900,36,005,021900,76.8,1.9966,2
36005022000,36,005,022000,75.6,2.8617,2
36005022101,36,005,022101,78.5,3.519,3
36005022102,36,005,022102,76.3,1.922,2
36005022200,36,005,022200,80.2,2.8425,3
36005022300,36,005,022300,78.5,3.9021,3
36005022401,36,005,022401,81.2,2.2822,3
36005022403,36,005,022403,81.2,2.5722,3
36005022404,36,005,022404,80.1,2.3345,3
36005022500,36,005,022500,75.6,1.8782,1
36005022701,36,005,022701,80.2,3.1374,3
36005022703,36,005,022703,77.9,3.0074,2
36005022800,36,005,022800,78.6,1.3822,3
36005022901,36,005,022901,76.8,1.7242,2
36005022902,36,005,022902,76.2,3.3516,3
36005023000,36,005,023000,78.8,1.6982,2
36005023100,36,005,023100,76.8,2.3221,2
36005023200,36,005,023200,82.4,2.8461,3
36005023301,36,005,023301,75.6,1.964,2
36005023302,36,005,023302,81.6,3.9854,3
36005023501,36,005,023501,76.8,2.2769,2
36005023502,36,005,023502,81.3,2.1357,3
36005023600,36,005,023600,77.4,1.5865,2
36005023702,36,005,023702,69.4,3.3019,3
36005023703,36,005,023703,75.2,2.5669,3
36005023704,36,005,023704,76.8,2.6032,2
36005023800,36,005,023800,78.2,2.5164,3
36005023900,36,005,023900,81.7,3.3188,1
36005024000,36,005,024000,75.6,1.943,2
36005024100,36,005,024100,78,2.574,3
36005024300,36,005,024300,75.6,1.3909,2
36005024400,36,005,024400,81.8,2.9441,3
36005024501,36,005,024501,75.6,2.191,2
36005024502,36,005,024502,79,3.1665,3
36005024600,36,005,024600,84.8,2.73,3
36005024700,36,005,024700,78.3,2.6411,2
36005024800,36,005,024800,78.4,1.5819,3
36005025000,36,005,025000,82.7,2.5333,3
36005025100,36,005,025100,78.8,3.3435,3
36005025200,36,005,025200,80.1,1.8636,3
36005025300,36,005,025300,79.4,3.1427,3
36005025400,36,005,025400,78.7,0.876,2
36005025500,36,005,025500,75.6,1.6364,2
36005025600,36,005,025600,79.8,3.4547,3
36005025700,36,005,025700,76.8,1.9515,2
36005026100,36,005,026100,79.5,2.4094,3
36005026300,36,005,026300,72.4,1.207,3
36005026400,36,005,026400,81.8,1.8091,3
36005026500,36,005,026500,78.3,2.2895,1
36005026601,36,005,026601,79.7,1.5315,3
36005026602,36,005,026602,83.6,2.275,3
36005026701,36,005,026701,77.4,2.4744,2
36005026702,36,005,026702,80.7,2.7301,3
36005026900,36,005,026900,72.6,1.9594,3
36005027300,36,005,027300,85.1,3.2438,3
36005027401,36,005,027401,79.3,2.4426,3
36005027402,36,005,027402,82.5,1.673,3
36005027700,36,005,027700,76.3,1.3814,2
36005027900,36,005,027900,79.7,1.2148,3
36005028100,36,005,028100,78.7,1.2896,3
36005028300,36,005,028300,76.8,2.0552,2
36005028500,36,005,028500,82.6,2.2598,3
36005028600,36,005,028600,80.4,1.8001,2
36005028700,36,005,028700,82.4,2.3623,3
36005028800,36,005,028800,85.7,2.8079,3
36005028900,36,005,028900,79.8,1.3146,3
36005029301,36,005,029301,79.1,1.4648,3
36005029302,36,005,029302,83,1.2842,3
36005029500,36,005,029500,83.4,2.025,3
36005029600,36,005,029600,81.2,1.4036,2
36005029700,36,005,029700,75.3,1.2498,3
36005030000,36,005,030000,79.8,1.5581,3
36005030100,36,005,030100,76.9,1.6589,3
36005030200,36,005,030200,88.6,3.2369,3
36005030701,36,005,030701,81.9,1.3736,3
36005030900,36,005,030900,77.9,1.0395,3
36005031000,36,005,031000,75,1.0896,3
36005031200,36,005,031200,83,2.5995,3
36005031400,36,005,031400,79.3,1.4152,3
36005031600,36,005,031600,82.7,2.5753,3
36005031800,36,005,031800,79.9,1.6249,3
36005032300,36,005,032300,81.6,1.8449,3
36005032600,36,005,032600,77.6,2.807,3
36005032800,36,005,032800,81.6,2.806,1
36005033000,36,005,033000,85.3,3.291,3
36005033201,36,005,033201,81.5,1.5143,3
36005033202,36,005,033202,74.8,1.3572,3
36005033500,36,005,033500,84.2,2.0064,3
36005033600,36,005,033600,75.9,1.2922,1
36005033700,36,005,033700,82.9,2.041,3
36005033800,36,005,033800,76.8,1.5581,2
36005034000,36,005,034000,81.9,3.4817,3
36005034200,36,005,034200,79.2,1.6199,2
36005034300,36,005,034300,73.4,1.9647,3
36005034400,36,005,034400,79.9,1.7883,2
36005034500,36,005,034500,82.8,2.0812,3
36005034800,36,005,034800,80.7,1.9046,3
36005035000,36,005,035000,79,1.942,2
36005035100,36,005,035100,80.1,2.0561,3
36005035600,36,005,035600,77.6,1.2289,2
36005035800,36,005,035800,85.2,2.5629,3
36005035900,36,005,035900,75.6,2.8419,2
36005036000,36,005,036000,77.4,1.6855,3
36005036100,36,005,036100,75.4,1.9755,3
36005036300,36,005,036300,75.6,1.4233,2
36005036400,36,005,036400,77.8,2.3597,2
36005036501,36,005,036501,79.2,3.5005,3
36005036700,36,005,036700,75.6,1.7831,2
36005036800,36,005,036800,80.8,2.007,3
36005036901,36,005,036901,75.9,2.2334,3
36005036902,36,005,036902,75.6,1.6471,2
36005037000,36,005,037000,79,1.0962,2
36005037100,36,005,037100,78,2.7139,1
36005037200,36,005,037200,78.3,1.3282,2
36005037300,36,005,037300,76.9,1.5588,1
36005037400,36,005,037400,74,1.7697,3
36005037504,36,005,037504,75.6,1.6703,2
36005037600,36,005,037600,77.6,2.2881,3
36005037800,36,005,037800,76.5,1.8517,3
36005037900,36,005,037900,75.4,3.8232,3
36005038000,36,005,038000,76.9,1.804,3
36005038100,36,005,038100,82,2.6406,3
36005038200,36,005,038200,76.7,1.392,2
36005038301,36,005,038301,75.6,2.3233,2
36005038302,36,005,038302,75.6,1.4268,2
36005038500,36,005,038500,77.1,2.5535,3
36005038600,36,005,038600,82.2,2.2982,3
36005038700,36,005,038700,72.1,3.8471,3
36005038800,36,005,038800,78.1,1.7352,3
36005038900,36,005,038900,76.5,2.0627,3
36005039000,36,005,039000,81.4,3.9455,3
36005039100,36,005,039100,75.5,2.22,3
36005039300,36,005,039300,75.2,1.2899,1
36005039400,36,005,039400,77,1.5385,1
36005039500,36,005,039500,74.9,2.7265,3
36005039600,36,005,039600,86,3.9502,3
36005039700,36,005,039700,74.9,1.7644,3
36005039800,36,005,039800,79.3,3.1174,3
36005039901,36,005,039901,75.6,1.5204,2
36005039902,36,005,039902,79,2.3143,3
36005040100,36,005,040100,79,2.5694,3
36005040302,36,005,040302,76.3,1.6156,2
36005040303,36,005,040303,79.9,3.5518,3
36005040304,36,005,040304,80.1,3.157,3
36005040400,36,005,040400,81.9,2.7249,3
36005040501,36,005,040501,83.1,3.2332,3
36005040502,36,005,040502,76,3.0237,3
36005040600,36,005,040600,83.8,3.6023,3
36005040701,36,005,040701,76.8,2.7386,3
36005040702,36,005,040702,75.6,1.4046,2
36005040800,36,005,040800,76.8,1.4353,2
36005040900,36,005,040900,77.6,1.9971,3
36005041100,36,005,041100,77.9,2.6599,3
36005041300,36,005,041300,80.5,1.9032,3
36005041400,36,005,041400,82.6,2.2548,3
36005041500,36,005,041500,78.7,2.3305,3
36005041800,36,005,041800,76.8,1.6144,2
36005041900,36,005,041900,77.9,1.7069,2
36005042000,36,005,042000,79.9,2.6692,3
36005042100,36,005,042100,77.9,1.5175,2
36005042200,36,005,042200,83.8,3.1107,3
36005042300,36,005,042300,76.8,1.2205,2
36005042400,36,005,042400,78.1,2.2032,3
36005042500,36,005,042500,75.6,2.4839,3
36005042600,36,005,042600,81.5,2.2301,3
36005042800,36,005,042800,84.1,3.4202,3
36005042901,36,005,042901,76.8,1.8663,2
36005042902,36,005,042902,76.2,1.6887,3
36005043000,36,005,043000,77.8,1.972,2
36005043100,36,005,043100,75.3,1.0341,1
36005043400,36,005,043400,81.4,1.9821,3
36005043600,36,005,043600,79.6,2.8953,3
36005044200,36,005,044200,76.8,1.4302,2
36005044400,36,005,044400,81.6,3.0123,3
36005044800,36,005,044800,79.8,1.2892,2
36005044901,36,005,044901,80.2,2.6901,3
36005044902,36,005,044902,79.8,2.2441,3
36005045101,36,005,045101,81,2.2289,3
36005045102,36,005,045102,77.7,1.5993,3
36005045800,36,005,045800,73.2,1.7074,3
36005046000,36,005,046000,70.9,1.5236,3
36005046201,36,005,046201,81.4,0.9574,1
36005046202,36,005,046202,78.5,1.2794,1
36005048400,36,005,048400,82.2,2.9859,3
36005051600,36,005,051600,79.6,1.444,3
36047000100,36,047,000100,82.3,1.6793,3
36047000200,36,047,000200,76.3,2.3684,2
36047000301,36,047,000301,89.1,3.6336,3
36047000501,36,047,000501,84.2,2.13,3
36047000502,36,047,000502,80.2,1.3811,3
36047000700,36,047,000700,85.9,3.413,3
36047000900,36,047,000900,86.6,3.7705,3
36047001300,36,047,001300,82.8,2.1551,3
36047001500,36,047,001500,81.5,3.4262,3
36047002000,36,047,002000,80.1,3.4641,3
36047002100,36,047,002100,81.6,3.6401,2
36047002200,36,047,002200,80.3,1.3719,3
36047002300,36,047,002300,74.8,2.1171,3
36047002901,36,047,002901,74.4,2.6731,3
36047003000,36,047,003000,78.8,1.6143,3
36047003100,36,047,003100,81.1,1.5928,3
36047003300,36,047,003300,81.2,2.4044,2
36047003400,36,047,003400,83.4,2.3358,3
36047003500,36,047,003500,81.2,2.4894,2
36047003600,36,047,003600,79.9,1.4061,3
36047003800,36,047,003800,81.6,1.9662,3
36047003900,36,047,003900,81.2,2.0526,2
36047004100,36,047,004100,77.8,1.4762,3
36047004300,36,047,004300,77.8,2.3491,3
36047004400,36,047,004400,82.6,1.9597,3
36047004500,36,047,004500,83.2,3.2707,3
36047004600,36,047,004600,82.6,1.3073,2
36047004900,36,047,004900,78.4,1.7698,3
36047005000,36,047,005000,80.9,1.3966,3
36047005100,36,047,005100,82.6,2.3593,2
36047005201,36,047,005201,79.7,1.6859,3
36047005202,36,047,005202,78.1,1.4037,3
36047005300,36,047,005300,78.2,2.9631,3
36047005400,36,047,005400,82.5,1.8241,3
36047005601,36,047,005601,80.4,2.3416,3
36047005602,36,047,005602,81.7,1.1785,2
36047005800,36,047,005800,78.7,2.1607,3
36047005900,36,047,005900,73.4,3.7315,3
36047006000,36,047,006000,81.3,2.5394,3
36047006200,36,047,006200,80.5,2.1262,3
36047006300,36,047,006300,83,2.9615,3
36047006400,36,047,006400,80.5,1.5908,3
36047006500,36,047,006500,82.1,2.1768,3
36047006600,36,047,006600,82.6,2.8089,3
36047006700,36,047,006700,85.2,2.9013,3
36047006800,36,047,006800,81.6,1.6225,3
36047006900,36,047,006900,82.7,2.5765,3
36047007000,36,047,007000,84.5,3.1536,3
36047007100,36,047,007100,77.4,1.7061,3
36047007200,36,047,007200,81.1,2.6527,3
36047007400,36,047,007400,82.9,3.4813,3
36047007500,36,047,007500,82.6,1.6492,3
36047007600,36,047,007600,78.8,1.5535,2
36047007700,36,047,007700,81.8,1.484,2
36047007800,36,047,007800,81.5,3.4593,3
36047008000,36,047,008000,77.7,1.8307,3
36047008200,36,047,008200,83.3,2.9772,3
36047008400,36,047,008400,77.7,1.7418,2
36047008500,36,047,008500,73.4,1.9667,3
36047008800,36,047,008800,79.1,1.918,2
36047009000,36,047,009000,80.8,2.7203,3
36047009200,36,047,009200,80.4,2.0039,3
36047009400,36,047,009400,83.3,2.6417,3
36047009600,36,047,009600,82.7,2.181,3
36047009800,36,047,009800,83,2.8465,3
36047010000,36,047,010000,83.4,3.0651,1
36047010100,36,047,010100,82.9,3.9978,3
36047010200,36,047,010200,85.1,3.2224,1
36047010400,36,047,010400,76.6,1.0798,2
36047010600,36,047,010600,82.1,1.825,3
36047010800,36,047,010800,78.5,1.5792,3
36047011000,36,047,011000,80.3,2.5764,3
36047011200,36,047,011200,84,1.7994,1
36047011400,36,047,011400,81.2,2.0925,3
36047011600,36,047,011600,81.6,1.9037,1
36047011700,36,047,011700,81.2,1.7295,2
36047011800,36,047,011800,79.6,2.4772,3
36047011900,36,047,011900,82.6,2.4636,2
36047012000,36,047,012000,76,2.3444,2
36047012100,36,047,012100,81.3,2.7679,3
36047012200,36,047,012200,82.8,2.666,3
36047012600,36,047,012600,78.9,1.3754,3
36047012700,36,047,012700,74.8,1.7695,3
36047012801,36,047,012801,79.7,1.5109,3
36047012901,36,047,012901,81.7,2.212,2
36047012902,36,047,012902,78.5,2.2013,3
36047013000,36,047,013000,79.8,1.3538,3
36047013100,36,047,013100,82.2,2.1362,2
36047013200,36,047,013200,80.8,2.1791,3
36047013300,36,047,013300,81.9,1.7994,3
36047013400,36,047,013400,80.3,1.322,3
36047013500,36,047,013500,80.8,2.622,3
36047013600,36,047,013600,79.8,1.8625,3
36047013700,36,047,013700,81.6,1.2558,2
36047013800,36,047,013800,83.6,2.4938,3
36047013900,36,047,013900,78.8,1.4588,3
36047014000,36,047,014000,79.6,2.2553,3
36047014100,36,047,014100,79.9,2.1745,3
36047014200,36,047,014200,81.3,2.5894,3
36047014300,36,047,014300,81.7,2.1487,2
36047014500,36,047,014500,81.7,2.004,2
36047014700,36,047,014700,82.6,1.7405,2
36047014800,36,047,014800,80.9,1.6055,2
36047014900,36,047,014900,82.6,1.8876,2
36047015000,36,047,015000,86.2,3.2815,3
36047015100,36,047,015100,82.9,2.5604,3
36047015200,36,047,015200,80.8,1.2608,3
36047015300,36,047,015300,82.2,1.5433,3
36047015500,36,047,015500,85.7,3.8842,3
36047015700,36,047,015700,85.3,3.8424,3
36047015900,36,047,015900,82.7,2.1686,3
36047016000,36,047,016000,83.4,2.2891,3
36047016100,36,047,016100,83.3,2.7491,3
36047016200,36,047,016200,81,2.2715,3
36047016300,36,047,016300,72.7,1.8444,3
36047016500,36,047,016500,81.6,1.4169,2
36047016600,36,047,016600,81,1.4663,3
36047016700,36,047,016700,84.1,2.0991,3
36047016800,36,047,016800,85,2.5032,3
36047016900,36,047,016900,80.3,1.3468,3
36047017000,36,047,017000,83.2,1.6369,3
36047017100,36,047,017100,84.5,2.4295,3
36047017200,36,047,017200,82.4,1.4591,3
36047017400,36,047,017400,80.3,1.1891,2
36047017600,36,047,017600,82.8,2.5812,3
36047017800,36,047,017800,79.2,1.6282,3
36047017900,36,047,017900,79.8,1.703,3
36047018000,36,047,018000,82.1,1.9146,3
36047018100,36,047,018100,81.5,3.2952,3
36047018200,36,047,018200,77.2,1.6831,2
36047018300,36,047,018300,78.2,2.9005,3
36047018400,36,047,018400,81.5,1.4407,3
36047018501,36,047,018501,72.8,1.3252,3
36047018600,36,047,018600,82.3,1.6855,3
36047018700,36,047,018700,82.2,2.5489,2
36047018800,36,047,018800,81.6,2,3
36047019000,36,047,019000,83.8,2.5642,3
36047019100,36,047,019100,78.3,3.8929,3
36047019200,36,047,019200,78.3,1.1847,2
36047019300,36,047,019300,80.2,1.7036,3
36047019400,36,047,019400,82.2,1.6387,3
36047019500,36,047,019500,81.2,1.6749,2
36047019600,36,047,019600,78.8,1.3969,3
